,name,author,rating,year,genre
287,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,4.5,2018,Non Fiction
288,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,2018,Non Fiction
289,The Pout-Pout Fish,Deborah Diesen,4.8,2017,Fiction
290,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,2012,Non Fiction
291,The President Is Missing: A Novel,James Patterson,4.3,2018,Fiction
292,The Racketeer,John Grisham,4.3,2012,Fiction
293,"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2010,Fiction
294,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,2010,Non Fiction
295,"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2012,Fiction
296,The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,2009,Fiction
297,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2010,Fiction
298,The Silent Patient,Alex Michaelides,4.5,2019,Fiction
299,"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,2011,Fiction
300,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,2017,Non Fiction
301,The Sun and Her Flowers,Rupi Kaur,4.7,2017,Non Fiction
302,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,2012,Childrens
303,"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,2011,Fiction
304,The Time Traveler's Wife,Audrey Niffenegger,4.4,2009,Fiction
305,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,2009,Non Fiction
306,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,2019,Non Fiction
307,The Twilight Saga Collection,Stephenie Meyer,4.7,2009,Fiction
308,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,2010,Childrens
309,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,4.7,2019,Non Fiction
310,The Very Hungry Caterpillar,Eric Carle,4.9,2013,Fiction
311,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,2015,Non Fiction
312,The Wonderful Things You Will Be,Emily Winfield Martin,4.9,2016,Childrens
313,The Wonky Donkey,Craig Smith,4.8,2018,Fiction
314,The Wright Brothers,David McCullough,4.7,2015,Non Fiction
315,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,2013,Non Fiction
316,"Thinking, Fast and Slow",Daniel Kahneman,4.6,2011,Non Fiction
317,Thirteen Reasons Why,Jay Asher,4.5,2017,Fiction
318,Thomas Jefferson: The Art of Power,Jon Meacham,4.5,2012,Non Fiction
319,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,2009,Non Fiction
320,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,2014,Non Fiction
321,Tina Fey: Bossypants,Tina Fey,4.3,2011,Non Fiction
322,To Kill a Mockingbird,Harper Lee,4.8,2013,Fiction
323,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,2017,Non Fiction
324,"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2010,Fiction
325,True Compass: A Memoir,Edward M. Kennedy,4.5,2009,Non Fiction
326,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,2009,Fiction
327,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.5,2014,Childrens
328,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,2010,Non Fiction
329,Under the Dome: A Novel,Stephen King,4.3,2009,Fiction
330,Unfreedom of the Press,Mark R. Levin,4.9,2019,Non Fiction
331,Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,2019,Childrens
332,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,2016,Non Fiction
333,Watchmen,Alan Moore,4.8,2009,Fiction
334,Water for Elephants: A Novel,Sara Gruen,4.5,2011,Fiction
335,What Happened,Hillary Rodham Clinton,4.6,2017,Non Fiction
336,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,2014,Non Fiction
337,What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,2015,Childrens
338,What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,2019,Fiction
339,What to Expect When You're Expecting,Heidi Murkoff,4.4,2011,Non Fiction
340,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,2012,Non Fiction
341,When Breath Becomes Air,Paul Kalanithi,4.8,2016,Non Fiction
342,Where the Crawdads Sing,Delia Owens,4.8,2019,Fiction
343,Where the Wild Things Are,Maurice Sendak,4.8,2009,Childrens
344,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,4.6,2018,Non Fiction
345,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,2012,Non Fiction
346,Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,2012,Fiction
347,Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,2010,Non Fiction
348,Wonder,R. J. Palacio,4.8,2013,Fiction
349,Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,2019,Childrens
