,name,author,rating,year,genre
43,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,2009,Non Fiction
44,Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,2018,Fiction
45,Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,2015,Non Fiction
46,Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,2015,Non Fiction
47,Cutting for Stone,Abraham Verghese,4.6,2010,Fiction
48,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,2013,Non Fiction
49,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,2013,Non Fiction
50,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,2009,Fiction
51,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,2010,Fiction
52,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2011,Fiction
53,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,2015,Childrens
54,Decision Points,George W. Bush,4.6,2010,Non Fiction
55,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,2010,Non Fiction
56,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,2013,Non Fiction
57,"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,2013,Childrens
58,Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,2009,Childrens
59,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,2014,Childrens
60,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,2019,Childrens
61,Divergent,Veronica Roth,4.6,2013,Fiction
62,Divergent / Insurgent,Veronica Roth,4.5,2014,Fiction
63,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,2009,Non Fiction
64,Doctor Sleep: A Novel,Stephen King,4.7,2013,Fiction
65,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,2009,Childrens
66,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,2018,Childrens
67,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,2017,Childrens
68,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,2018,Childrens
69,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,2019,Childrens
70,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,2019,Childrens
71,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,2018,Childrens
72,Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,2016,Childrens
73,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2015,Non Fiction
74,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2010,Non Fiction
75,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,2009,Non Fiction
